branch,stage,id,mode,mae,ssim,lpips
P02,4,b131a72a3df0e499fd0740e8252004d56f759bf79f35de60fc4e5027a8aa5da0:0cbd67590dc9d6924e97a9bdeb700db2988b50c0b9ef26d4d2c9f61609779fd2,6,0.04364503175020218,0.663843035697937,0.12440567463636398
P02,5,b131a72a3df0e499fd0740e8252004d56f759bf79f35de60fc4e5027a8aa5da0:de3404e40c52884eca4700f7141ed4dd245b04347493aa7030ef33d844da63f6,fixed,0.07907287031412125,0.4742469787597656,0.18909992277622223
P02,5,b131a72a3df0e499fd0740e8252004d56f759bf79f35de60fc4e5027a8aa5da0:de3404e40c52884eca4700f7141ed4dd245b04347493aa7030ef33d844da63f6,1,0.06668028980493546,0.5924898982048035,0.17104068398475647
P02,5,b131a72a3df0e499fd0740e8252004d56f759bf79f35de60fc4e5027a8aa5da0:de3404e40c52884eca4700f7141ed4dd245b04347493aa7030ef33d844da63f6,3,0.06668028980493546,0.5924898982048035,0.17104068398475647
P02,5,b131a72a3df0e499fd0740e8252004d56f759bf79f35de60fc4e5027a8aa5da0:de3404e40c52884eca4700f7141ed4dd245b04347493aa7030ef33d844da63f6,6,0.06668028980493546,0.5924898982048035,0.17104068398475647
P02,6,b131a72a3df0e499fd0740e8252004d56f759bf79f35de60fc4e5027a8aa5da0:3759fd3429ad1b07fe4effade7e47d5815091fb64b3f65f40321767d4f936596,fixed,0.0823577344417572,0.45751288533210754,0.20260554552078247
P02,6,b131a72a3df0e499fd0740e8252004d56f759bf79f35de60fc4e5027a8aa5da0:3759fd3429ad1b07fe4effade7e47d5815091fb64b3f65f40321767d4f936596,1,0.0708954781293869,0.5689559578895569,0.18510954082012177
P02,6,b131a72a3df0e499fd0740e8252004d56f759bf79f35de60fc4e5027a8aa5da0:3759fd3429ad1b07fe4effade7e47d5815091fb64b3f65f40321767d4f936596,3,0.07125925272703171,0.5664193630218506,0.18683218955993652
P02,6,b131a72a3df0e499fd0740e8252004d56f759bf79f35de60fc4e5027a8aa5da0:3759fd3429ad1b07fe4effade7e47d5815091fb64b3f65f40321767d4f936596,6,0.0719980001449585,0.5596897602081299,0.18665340542793274
P02,7,b131a72a3df0e499fd0740e8252004d56f759bf79f35de60fc4e5027a8aa5da0:0affc060402d8b0072c4f0ae399f9b19d53b46764d81f434739084ab1399d67a,fixed,0.08702487498521805,0.4287870228290558,0.23098960518836975
P02,7,b131a72a3df0e499fd0740e8252004d56f759bf79f35de60fc4e5027a8aa5da0:0affc060402d8b0072c4f0ae399f9b19d53b46764d81f434739084ab1399d67a,1,0.07623013854026794,0.5345602035522461,0.21453231573104858
P02,7,b131a72a3df0e499fd0740e8252004d56f759bf79f35de60fc4e5027a8aa5da0:0affc060402d8b0072c4f0ae399f9b19d53b46764d81f434739084ab1399d67a,3,0.0768977478146553,0.5289155840873718,0.21645808219909668
P02,7,b131a72a3df0e499fd0740e8252004d56f759bf79f35de60fc4e5027a8aa5da0:0affc060402d8b0072c4f0ae399f9b19d53b46764d81f434739084ab1399d67a,6,0.0768977478146553,0.5289155840873718,0.21645808219909668
P02,8,b131a72a3df0e499fd0740e8252004d56f759bf79f35de60fc4e5027a8aa5da0:15a93c0b704376c2a9e617da20ec9ad467618d63332beaaaf34673500c50b815,fixed,0.09236957877874374,0.3990817070007324,0.2334298938512802
P02,8,b131a72a3df0e499fd0740e8252004d56f759bf79f35de60fc4e5027a8aa5da0:15a93c0b704376c2a9e617da20ec9ad467618d63332beaaaf34673500c50b815,1,0.08165322989225388,0.5016750693321228,0.21008522808551788
P02,8,b131a72a3df0e499fd0740e8252004d56f759bf79f35de60fc4e5027a8aa5da0:15a93c0b704376c2a9e617da20ec9ad467618d63332beaaaf34673500c50b815,3,0.08165322989225388,0.5016750693321228,0.21008522808551788
P02,8,b131a72a3df0e499fd0740e8252004d56f759bf79f35de60fc4e5027a8aa5da0:15a93c0b704376c2a9e617da20ec9ad467618d63332beaaaf34673500c50b815,6,0.08165322989225388,0.5016750693321228,0.21008522808551788
P02,9,b131a72a3df0e499fd0740e8252004d56f759bf79f35de60fc4e5027a8aa5da0:f96bdff0df1d5a089625e70d6b99ef20b09138200735d9ebe7f22f4982555ca9,fixed,0.09657423198223114,0.3798588216304779,0.259820818901062
P02,9,b131a72a3df0e499fd0740e8252004d56f759bf79f35de60fc4e5027a8aa5da0:f96bdff0df1d5a089625e70d6b99ef20b09138200735d9ebe7f22f4982555ca9,1,0.0884815901517868,0.45322510600090027,0.24630707502365112
P02,9,b131a72a3df0e499fd0740e8252004d56f759bf79f35de60fc4e5027a8aa5da0:f96bdff0df1d5a089625e70d6b99ef20b09138200735d9ebe7f22f4982555ca9,3,0.0884815901517868,0.45322510600090027,0.24630707502365112
P02,9,b131a72a3df0e499fd0740e8252004d56f759bf79f35de60fc4e5027a8aa5da0:f96bdff0df1d5a089625e70d6b99ef20b09138200735d9ebe7f22f4982555ca9,6,0.0884815901517868,0.45322510600090027,0.24630707502365112
P02,10,b131a72a3df0e499fd0740e8252004d56f759bf79f35de60fc4e5027a8aa5da0:9c4e6a399bed49ba1cef1f3d41386adcc1319a725310fb93a2e389bab006fa43,fixed,0.1283421516418457,0.36652669310569763,0.26662883162498474
