branch,stage,sha256,scope,region,mode,dx,dy,ncc,mae,ssim,lpips,highpass_mae
P02,7,0affc060402d8b0072c4f0ae399f9b19d53b46764d81f434739084ab1399d67a,face,whole_roi,fixed,0,0,,0.08702487498521805,0.4287870228290558,0.23098960518836975,
P02,7,0affc060402d8b0072c4f0ae399f9b19d53b46764d81f434739084ab1399d67a,face,whole_roi,1,-3,-2,0.9034786820411682,0.07623013854026794,0.5345602035522461,0.21453231573104858,
P02,7,0affc060402d8b0072c4f0ae399f9b19d53b46764d81f434739084ab1399d67a,face,whole_roi,3,-4,-2,0.9199978113174438,0.0768977478146553,0.5289155840873718,0.21645808219909668,
P02,7,0affc060402d8b0072c4f0ae399f9b19d53b46764d81f434739084ab1399d67a,face,whole_roi,6,-4,-2,0.9307420253753662,0.0768977478146553,0.5289155840873718,0.21645808219909668,
P02,8,15a93c0b704376c2a9e617da20ec9ad467618d63332beaaaf34673500c50b815,face,whole_roi,fixed,0,0,,0.09236957877874374,0.3990817070007324,0.2334298938512802,
P02,8,15a93c0b704376c2a9e617da20ec9ad467618d63332beaaaf34673500c50b815,face,whole_roi,1,-4,-2,0.9143892526626587,0.08165322989225388,0.5016750693321228,0.21008522808551788,
P02,8,15a93c0b704376c2a9e617da20ec9ad467618d63332beaaaf34673500c50b815,face,whole_roi,3,-4,-2,0.9318540096282959,0.08165322989225388,0.5016750693321228,0.21008522808551788,
P02,8,15a93c0b704376c2a9e617da20ec9ad467618d63332beaaaf34673500c50b815,face,whole_roi,6,-4,-2,0.9421542882919312,0.08165322989225388,0.5016750693321228,0.21008522808551788,
P02,9,f96bdff0df1d5a089625e70d6b99ef20b09138200735d9ebe7f22f4982555ca9,face,whole_roi,fixed,0,0,,0.09657423198223114,0.3798588216304779,0.259820818901062,
P02,9,f96bdff0df1d5a089625e70d6b99ef20b09138200735d9ebe7f22f4982555ca9,face,whole_roi,1,-4,-1,0.9073518514633179,0.0884815901517868,0.45322510600090027,0.24630707502365112,
P02,9,f96bdff0df1d5a089625e70d6b99ef20b09138200735d9ebe7f22f4982555ca9,face,whole_roi,3,-4,-1,0.928648054599762,0.0884815901517868,0.45322510600090027,0.24630707502365112,
P02,9,f96bdff0df1d5a089625e70d6b99ef20b09138200735d9ebe7f22f4982555ca9,face,whole_roi,6,-4,-1,0.9408485293388367,0.0884815901517868,0.45322510600090027,0.24630707502365112,
P02,10,9c4e6a399bed49ba1cef1f3d41386adcc1319a725310fb93a2e389bab006fa43,face,whole_roi,fixed,0,0,,0.1283421516418457,0.36652669310569763,0.26662883162498474,
P02,10,9c4e6a399bed49ba1cef1f3d41386adcc1319a725310fb93a2e389bab006fa43,face,whole_roi,1,-3,-2,0.8265668153762817,0.12412518262863159,0.41425177454948425,0.2588009834289551,
P02,10,9c4e6a399bed49ba1cef1f3d41386adcc1319a725310fb93a2e389bab006fa43,face,whole_roi,3,-3,-1,0.8430535197257996,0.12416679412126541,0.4068376123905182,0.2607609033584595,
P02,10,9c4e6a399bed49ba1cef1f3d41386adcc1319a725310fb93a2e389bab006fa43,face,whole_roi,6,-4,-2,0.8503903150558472,0.12463708966970444,0.41658079624176025,0.2594878077507019,
P03-r1,1,822586e373c59942cc319b7b5a9eca9b95d0c57ad4a2885d22b178d52f4aae22,face,whole_roi,fixed,0,0,,0.016818616539239883,0.8832266926765442,0.0397653803229332,
P03-r1,1,822586e373c59942cc319b7b5a9eca9b95d0c57ad4a2885d22b178d52f4aae22,face,whole_roi,1,0,0,0.9962211847305298,0.016818616539239883,0.8832266926765442,0.0397653803229332,
P03-r1,1,822586e373c59942cc319b7b5a9eca9b95d0c57ad4a2885d22b178d52f4aae22,face,whole_roi,3,0,0,0.9982108473777771,0.016818616539239883,0.8832266926765442,0.0397653803229332,
P03-r1,1,822586e373c59942cc319b7b5a9eca9b95d0c57ad4a2885d22b178d52f4aae22,face,whole_roi,6,0,0,0.9987274408340454,0.016818616539239883,0.8832266926765442,0.0397653803229332,
P03-r1,2,9d640354a139713fd4b170a29aa4fb475ab312f84d5dc87d5c8a982603f363f1,face,whole_roi,fixed,0,0,,0.023919278755784035,0.8415461182594299,0.06436368077993393,
P03-r1,2,9d640354a139713fd4b170a29aa4fb475ab312f84d5dc87d5c8a982603f363f1,face,whole_roi,1,0,-1,0.9929236769676208,0.023015739396214485,0.8469493985176086,0.06130266562104225,
P03-r1,2,9d640354a139713fd4b170a29aa4fb475ab312f84d5dc87d5c8a982603f363f1,face,whole_roi,3,0,-1,0.9958251714706421,0.023015739396214485,0.8469493985176086,0.06130266562104225,
P03-r1,2,9d640354a139713fd4b170a29aa4fb475ab312f84d5dc87d5c8a982603f363f1,face,whole_roi,6,0,-1,0.9968201518058777,0.023015739396214485,0.8469493985176086,0.06130266562104225,
P03-r1,3,6adb61e661b32ecd6df0e8eae2368f3e94259432a28cc3aab7369765e31aacec,face,whole_roi,fixed,0,0,,0.035219378769397736,0.8154917359352112,0.08458372950553894,
P03-r1,3,6adb61e661b32ecd6df0e8eae2368f3e94259432a28cc3aab7369765e31aacec,face,whole_roi,1,-1,-1,0.9854200482368469,0.03467418998479843,0.8129358291625977,0.08336623013019562,
P03-r1,3,6adb61e661b32ecd6df0e8eae2368f3e94259432a28cc3aab7369765e31aacec,face,whole_roi,3,-1,-1,0.9894370436668396,0.03467418998479843,0.8129358291625977,0.08336623013019562,
P03-r1,3,6adb61e661b32ecd6df0e8eae2368f3e94259432a28cc3aab7369765e31aacec,face,whole_roi,6,-1,-1,0.9908285140991211,0.03467418998479843,0.8129358291625977,0.08336623013019562,
P03-r1,4,c593ddff289a664dea0966d52c9316df8aa93ad3885809fd2d1bc52c40536c35,face,whole_roi,fixed,0,0,,0.04619228467345238,0.7493398189544678,0.1184653639793396,
P03-r1,4,c593ddff289a664dea0966d52c9316df8aa93ad3885809fd2d1bc52c40536c35,face,whole_roi,1,-1,-1,0.9488226771354675,0.04347698763012886,0.7693193554878235,0.11682933568954468,
P03-r1,4,c593ddff289a664dea0966d52c9316df8aa93ad3885809fd2d1bc52c40536c35,face,whole_roi,3,-1,-2,0.9548771977424622,0.04516448825597763,0.7537969946861267,0.11466523259878159,
P03-r1,4,c593ddff289a664dea0966d52c9316df8aa93ad3885809fd2d1bc52c40536c35,face,whole_roi,6,-1,-3,0.9582964181900024,0.048636045306921005,0.7105652689933777,0.12118515372276306,
P03-r1,5,fb518674e0352dc6ac2e85717de2bee34e2efa6267f50f6d0e8160264e18ca92,face,whole_roi,fixed,0,0,,0.12108762562274933,0.4625864028930664,0.24226857721805573,
P03-r1,5,fb518674e0352dc6ac2e85717de2bee34e2efa6267f50f6d0e8160264e18ca92,face,whole_roi,1,7,5,0.8118591904640198,0.08753294497728348,0.6472768187522888,0.17715446650981903,
P03-r1,5,fb518674e0352dc6ac2e85717de2bee34e2efa6267f50f6d0e8160264e18ca92,face,whole_roi,3,8,5,0.8185720443725586,0.09012965857982635,0.6132805943489075,0.18278786540031433,
P03-r1,5,fb518674e0352dc6ac2e85717de2bee34e2efa6267f50f6d0e8160264e18ca92,face,whole_roi,6,10,4,0.8240447640419006,0.09710732102394104,0.535780131816864,0.19664092361927032,
P03-r1,6,66349281145be944dae18789572abff891dee7cd968a5ce4bd32f45800dc9e34,face,whole_roi,fixed,0,0,,0.12087925523519516,0.45227834582328796,0.25372883677482605,
P03-r1,6,66349281145be944dae18789572abff891dee7cd968a5ce4bd32f45800dc9e34,face,whole_roi,1,7,5,0.8074305653572083,0.08893025666475296,0.6233661770820618,0.1924964040517807,
P03-r1,6,66349281145be944dae18789572abff891dee7cd968a5ce4bd32f45800dc9e34,face,whole_roi,3,8,4,0.8157353401184082,0.09140907973051071,0.5953536033630371,0.197172611951828,
P03-r1,6,66349281145be944dae18789572abff891dee7cd968a5ce4bd32f45800dc9e34,face,whole_roi,6,10,4,0.8216755986213684,0.0976228192448616,0.519848644733429,0.21094323694705963,
P03-r1,7,323ee7108aed360c9e8138140952521e94afb21828a336ad58ac8d5389c36761,face,whole_roi,fixed,0,0,,0.12076550722122192,0.4395838975906372,0.2693564295768738,
