id,arm,repeat,stage,basis,mode,dx,dy,ncc,mae,ssim,lpips
sequential-r2-s3,sequential,2,3,original,3,0,0,0.8966273069381714,0.10054031759500504,0.7745588421821594,0.10811541229486465
sequential-r2-s3,sequential,2,3,original,6,0,0,0.8921859860420227,0.10054031759500504,0.7745588421821594,0.10811541229486465
sequential-r2-s3,sequential,2,3,previous,fixed,0,0,,0.017706427723169327,0.9443490505218506,0.0127720907330513
sequential-r2-s3,sequential,2,3,previous,1,0,0,0.9985389113426208,0.017706427723169327,0.9443490505218506,0.0127720907330513
sequential-r2-s3,sequential,2,3,previous,3,0,0,0.9991781711578369,0.017706427723169327,0.9443490505218506,0.0127720907330513
sequential-r2-s3,sequential,2,3,previous,6,0,0,0.9994045495986938,0.017706427723169327,0.9443490505218506,0.0127720907330513
no_change-r2-s1,no_change,2,1,original,fixed,0,0,,0.016583967953920364,0.8962201476097107,0.020728375762701035
no_change-r2-s1,no_change,2,1,original,1,0,-1,0.9974273443222046,0.01698237471282482,0.8887637257575989,0.021584805101156235
no_change-r2-s1,no_change,2,1,original,3,0,0,0.9989041090011597,0.016583967953920364,0.8962201476097107,0.020728375762701035
no_change-r2-s1,no_change,2,1,original,6,0,0,0.9994058012962341,0.016583967953920364,0.8962201476097107,0.020728375762701035
no_change-r2-s1,no_change,2,1,previous,fixed,0,0,,0.016583967953920364,0.8962201476097107,0.020728375762701035
no_change-r2-s1,no_change,2,1,previous,1,0,-1,0.9974273443222046,0.01698237471282482,0.8887637257575989,0.021584805101156235
no_change-r2-s1,no_change,2,1,previous,3,0,0,0.9989041090011597,0.016583967953920364,0.8962201476097107,0.020728375762701035
no_change-r2-s1,no_change,2,1,previous,6,0,0,0.9994058012962341,0.016583967953920364,0.8962201476097107,0.020728375762701035
no_change-r2-s2,no_change,2,2,original,fixed,0,0,,0.02494833432137966,0.8376107811927795,0.03877292945981026
no_change-r2-s2,no_change,2,2,original,1,0,-1,0.9956464171409607,0.0223864633589983,0.8598177433013916,0.034312695264816284
no_change-r2-s2,no_change,2,2,original,3,0,-1,0.9978610873222351,0.0223864633589983,0.8598177433013916,0.034312695264816284
no_change-r2-s2,no_change,2,2,original,6,0,-1,0.9986402988433838,0.0223864633589983,0.8598177433013916,0.034312695264816284
no_change-r2-s2,no_change,2,2,previous,fixed,0,0,,0.014044289477169514,0.9359123110771179,0.015364792197942734
no_change-r2-s2,no_change,2,2,previous,1,0,0,0.9979683756828308,0.014044289477169514,0.9359123110771179,0.015364792197942734
no_change-r2-s2,no_change,2,2,previous,3,0,0,0.9990550875663757,0.014044289477169514,0.9359123110771179,0.015364792197942734
no_change-r2-s2,no_change,2,2,previous,6,0,0,0.9993956685066223,0.014044289477169514,0.9359123110771179,0.015364792197942734
no_change-r2-s3,no_change,2,3,original,fixed,0,0,,0.03476787358522415,0.7847936153411865,0.06020522117614746
no_change-r2-s3,no_change,2,3,original,1,-1,-1,0.9911359548568726,0.030663885176181793,0.818234920501709,0.0541728213429451
no_change-r2-s3,no_change,2,3,original,3,-1,-1,0.9951770305633545,0.030663885176181793,0.818234920501709,0.0541728213429451
no_change-r2-s3,no_change,2,3,original,6,-1,-1,0.9964885711669922,0.030663885176181793,0.818234920501709,0.0541728213429451
no_change-r2-s3,no_change,2,3,previous,fixed,0,0,,0.01652267388999462,0.9436274170875549,0.015664346516132355
no_change-r2-s3,no_change,2,3,previous,1,0,-1,0.9970713257789612,0.017492547631263733,0.9246427416801453,0.016878269612789154
no_change-r2-s3,no_change,2,3,previous,3,0,-1,0.9982613325119019,0.017492547631263733,0.9246427416801453,0.016878269612789154
no_change-r2-s3,no_change,2,3,previous,6,0,-1,0.9985607266426086,0.017492547631263733,0.9246427416801453,0.016878269612789154
