id,arm,repeat,stage,mode,region,mae,ssim,highpass_mae
batch-r2-s1,batch,2,1,6,cheek_viewer_right,0.012299642898142338,0.8815538287162781,0.010601571761071682
sequential-r2-s1,sequential,2,1,fixed,weighted_three_regions,0.019776625243179937,0.8439093305140125,0.012461508891600019
sequential-r2-s1,sequential,2,1,fixed,forehead,0.019674131646752357,0.8231633305549622,0.013199281878769398
sequential-r2-s1,sequential,2,1,fixed,cheek_viewer_left,0.022127987816929817,0.8833653330802917,0.01180328894406557
sequential-r2-s1,sequential,2,1,fixed,cheek_viewer_right,0.017432112246751785,0.8666499257087708,0.011036993935704231
sequential-r2-s1,sequential,2,1,1,weighted_three_regions,0.02002133781199946,0.812772581397645,0.01408429606434177
sequential-r2-s1,sequential,2,1,1,forehead,0.01995585300028324,0.7853831648826599,0.014882753603160381
sequential-r2-s1,sequential,2,1,1,cheek_viewer_left,0.01856866106390953,0.861416757106781,0.013697975315153599
sequential-r2-s1,sequential,2,1,1,cheek_viewer_right,0.021847765892744064,0.8467722535133362,0.012175814248621464
sequential-r2-s1,sequential,2,1,3,weighted_three_regions,0.02002133781199946,0.812772581397645,0.01408429606434177
sequential-r2-s1,sequential,2,1,3,forehead,0.01995585300028324,0.7853831648826599,0.014882753603160381
sequential-r2-s1,sequential,2,1,3,cheek_viewer_left,0.01856866106390953,0.861416757106781,0.013697975315153599
sequential-r2-s1,sequential,2,1,3,cheek_viewer_right,0.021847765892744064,0.8467722535133362,0.012175814248621464
sequential-r2-s1,sequential,2,1,6,weighted_three_regions,0.02002133781199946,0.812772581397645,0.01408429606434177
sequential-r2-s1,sequential,2,1,6,forehead,0.01995585300028324,0.7853831648826599,0.014882753603160381
sequential-r2-s1,sequential,2,1,6,cheek_viewer_left,0.01856866106390953,0.861416757106781,0.013697975315153599
sequential-r2-s1,sequential,2,1,6,cheek_viewer_right,0.021847765892744064,0.8467722535133362,0.012175814248621464
sequential-r2-s2,sequential,2,2,fixed,weighted_three_regions,0.025499999463996465,0.8092554170445333,0.013423764947801828
sequential-r2-s2,sequential,2,2,fixed,forehead,0.025363586843013763,0.7826476097106934,0.014491508714854717
sequential-r2-s2,sequential,2,2,fixed,cheek_viewer_left,0.021970639005303383,0.8463782668113708,0.012558279559016228
sequential-r2-s2,sequential,2,2,fixed,cheek_viewer_right,0.029870836064219475,0.8539769649505615,0.011264116503298283
sequential-r2-s2,sequential,2,2,1,weighted_three_regions,0.025499999463996465,0.8092554170445333,0.013423764947801828
sequential-r2-s2,sequential,2,2,1,forehead,0.025363586843013763,0.7826476097106934,0.014491508714854717
sequential-r2-s2,sequential,2,2,1,cheek_viewer_left,0.021970639005303383,0.8463782668113708,0.012558279559016228
sequential-r2-s2,sequential,2,2,1,cheek_viewer_right,0.029870836064219475,0.8539769649505615,0.011264116503298283
sequential-r2-s2,sequential,2,2,3,weighted_three_regions,0.025499999463996465,0.8092554170445333,0.013423764947801828
sequential-r2-s2,sequential,2,2,3,forehead,0.025363586843013763,0.7826476097106934,0.014491508714854717
sequential-r2-s2,sequential,2,2,3,cheek_viewer_left,0.021970639005303383,0.8463782668113708,0.012558279559016228
