id,order,repeat,stage,added,completed_set,basis,scope,region,mode,mae,ssim,lpips,highpass_mae
SBP-r1-s3,SBP,1,3,P,SBP,previous,skin,cheek_viewer_right,3,0.012755797244608402,0.9240869879722595,,0.007906125858426094
SBP-r1-s3,SBP,1,3,P,SBP,previous,face,whole_roi,6,0.017082640901207924,0.9231107831001282,0.017312567681074142,
SBP-r1-s3,SBP,1,3,P,SBP,previous,skin,weighted_three_regions,6,0.014324683300493395,0.9045980553986326,,0.009598308825755821
SBP-r1-s3,SBP,1,3,P,SBP,previous,skin,forehead,6,0.013294289819896221,0.8958095908164978,,0.009772985242307186
SBP-r1-s3,SBP,1,3,P,SBP,previous,skin,cheek_viewer_left,6,0.01840699464082718,0.9127710461616516,,0.010646834038197994
SBP-r1-s3,SBP,1,3,P,SBP,previous,skin,cheek_viewer_right,6,0.012755797244608402,0.9240869879722595,,0.007906125858426094
PSB-r2-s1,PSB,2,1,P,P,original,face,whole_roi,fixed,0.016472481191158295,0.9091259837150574,0.02222837135195732,
PSB-r2-s1,PSB,2,1,P,P,original,skin,weighted_three_regions,fixed,0.01546116973109105,0.8568887878998857,,0.01129371792625855
PSB-r2-s1,PSB,2,1,P,P,original,skin,forehead,fixed,0.016129739582538605,0.8342959880828857,,0.011953242123126984
PSB-r2-s1,PSB,2,1,P,P,original,skin,cheek_viewer_left,fixed,0.01641681417822838,0.8940282464027405,,0.010766738094389439
PSB-r2-s1,PSB,2,1,P,P,original,skin,cheek_viewer_right,fixed,0.012424135580658913,0.8883793950080872,,0.009951180778443813
PSB-r2-s1,PSB,2,1,P,P,original,face,whole_roi,1,0.016472481191158295,0.9091259837150574,0.02222837135195732,
PSB-r2-s1,PSB,2,1,P,P,original,skin,weighted_three_regions,1,0.01546116973109105,0.8568887878998857,,0.01129371792625855
PSB-r2-s1,PSB,2,1,P,P,original,skin,forehead,1,0.016129739582538605,0.8342959880828857,,0.011953242123126984
PSB-r2-s1,PSB,2,1,P,P,original,skin,cheek_viewer_left,1,0.01641681417822838,0.8940282464027405,,0.010766738094389439
PSB-r2-s1,PSB,2,1,P,P,original,skin,cheek_viewer_right,1,0.012424135580658913,0.8883793950080872,,0.009951180778443813
PSB-r2-s1,PSB,2,1,P,P,original,face,whole_roi,3,0.016472481191158295,0.9091259837150574,0.02222837135195732,
PSB-r2-s1,PSB,2,1,P,P,original,skin,weighted_three_regions,3,0.01546116973109105,0.8568887878998857,,0.01129371792625855
PSB-r2-s1,PSB,2,1,P,P,original,skin,forehead,3,0.016129739582538605,0.8342959880828857,,0.011953242123126984
PSB-r2-s1,PSB,2,1,P,P,original,skin,cheek_viewer_left,3,0.01641681417822838,0.8940282464027405,,0.010766738094389439
PSB-r2-s1,PSB,2,1,P,P,original,skin,cheek_viewer_right,3,0.012424135580658913,0.8883793950080872,,0.009951180778443813
PSB-r2-s1,PSB,2,1,P,P,original,face,whole_roi,6,0.016472481191158295,0.9091259837150574,0.02222837135195732,
PSB-r2-s1,PSB,2,1,P,P,original,skin,weighted_three_regions,6,0.01546116973109105,0.8568887878998857,,0.01129371792625855
PSB-r2-s1,PSB,2,1,P,P,original,skin,forehead,6,0.016129739582538605,0.8342959880828857,,0.011953242123126984
PSB-r2-s1,PSB,2,1,P,P,original,skin,cheek_viewer_left,6,0.01641681417822838,0.8940282464027405,,0.010766738094389439
PSB-r2-s1,PSB,2,1,P,P,original,skin,cheek_viewer_right,6,0.012424135580658913,0.8883793950080872,,0.009951180778443813
PSB-r2-s1,PSB,2,1,P,P,previous,face,whole_roi,fixed,0.016472481191158295,0.9091259837150574,0.02222837135195732,
